* Currently node departure ,arrival and passing time after scheduling
* Node ID, Departure Time (sec), Arrival Time (sec), Passing Time (sec)
G1,68584,28886,0
G2,33049,24628,0
G2,71460,64648,0
G3,35107,65304,0
G6,38603,27793,0
G6,50760,40993,0
G6,68760,54915,0
G6,76351,61033,0
G7,35640,18477,0
G7,67649,27259,0
G7,72120,51177,0
G7,78186,0,0
G8,31606,20332,0
G8,39099,29911,0
G8,48720,48871,0
G8,55735,56191,0
G8,65593,60211,0
G8,72840,0,0
G9,33360,28096,0
G9,38279,48976,0
G9,71075,58101,0
G9,77317,63496,0
G9,0,70936,0
G9,0,84482,0
G10,31380,16999,0
G10,37975,24199,0
G10,48180,58579,0
G10,55630,62599,0
G10,73560,0,0
G11,33615,25105,0
G11,36360,41679,0
G11,49440,50123,0
G11,56312,59376,0
G11,67500,70119,0
G11,80585,0,0
G12,32011,40816,0
G12,35212,47400,0
G12,52800,61620,0
G12,66840,72556,0
G12,70979,84218,0
G14,33752,16619,0
G14,39978,25259,0
G14,49140,28919,0
G14,60360,52434,0
G14,74640,62176,0
G14,83872,0,0
G15,34979,14028,0
G15,57090,21648,0
G15,68435,26448,0
G15,72960,42580,0
G16,29580,29446,0
G16,36840,43546,0
G16,51817,56624,0
G16,62940,0,0
G16,68880,0,0
G16,73560,0,0
G17,32470,14443,0
G17,39213,31183,0
G17,50220,54146,0
G17,71280,57506,0
G17,0,62906,0
G18,35382,23448,0
G18,52140,27309,0
G18,61466,43119,0
G18,70204,56254,0
G18,0,65088,0
G18,0,71148,0
G19,35281,21850,0
G19,42874,43736,0
G19,51840,59154,0
G19,70867,72250,0
G19,0,80936,0
G20,31491,19352,0
G20,37860,32290,0
G20,58980,50455,0
G20,67320,62470,0
G20,71880,72010,0
G20,80446,0,0
G21,30049,22463,0
G21,35960,45443,0
G21,41396,60263,0
G21,55976,70763,0
G21,70335,0,0
G22,34032,18636,0
G22,69240,23818,0
G22,0,61738,0
G23,29888,20899,0
G23,35005,50863,0
G23,47352,78659,0
G23,57496,0,0
G23,64800,0,0
G23,70800,0,0
G23,77928,0,0
G24,39076,19900,0
G24,49920,43482,0
G24,64200,53924,0
G24,71484,80660,0
G24,79345,0,0
G26,34044,17739,0
G26,47640,24781,0
G26,58487,33685,0
G26,70560,51519,0
G26,76305,60099,0
G27,30960,2390,0
G27,37860,43122,0
G27,48540,51926,0
G27,68700,59592,0
G27,82605,71810,0
G27,0,78350,0
G28,34742,34537,0
G28,40060,55410,0
G28,52920,61950,0
G28,62040,0,0
G28,69720,0,0
G28,73800,0,0
G30,34260,37069,0
G30,42417,47118,0
G30,54960,56668,0
G30,62460,63616,0
G30,69240,68284,0
G30,0,72904,0
G31,36900,17265,0
G31,53393,22245,0
G31,68520,46425,0
G31,74986,53392,0
G31,0,58617,0
G31,0,69045,0
G31,0,74985,0
G32,34393,19537,0
G32,38465,40222,0
G32,44897,49637,0
G32,56452,61337,0
G32,70370,69857,0
G33,39555,14757,0
G33,54720,22857,0
G33,70481,26697,0
G33,74138,31737,0
G33,0,48537,0
G33,0,54911,0
G33,0,61977,0
G34,32879,41979,0
G34,37140,58907,0
G34,51278,0,0
G34,69096,0,0
G34,72441,0,0
G35,34455,18165,0
G35,37740,24156,0
G35,52560,45996,0
G35,66423,56565,0
G35,78471,59985,0
G35,0,67605,0
G36,30937,23420,0
G36,37062,36913,0
G36,45459,51766,0
G36,61809,62180,0
G36,72728,64518,0
G36,79873,74007,0
G37,34775,17547,0
G37,70080,25527,0
G37,75199,51087,0
G37,80893,75687,0
G38,33031,26315,0
G38,36354,59448,0
G38,53880,0,0
G38,69016,0,0
G38,72899,0,0
G39,34557,22079,0
G39,40502,44270,0
G39,51631,59459,0
G39,68160,68879,0
G39,75360,0,0
G40,37380,18447,0
