* Delay is in the first row of each flight.
* Flight ID,Address,Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%),Delay (seconds)
AIH321,HL8271,B734,M,ARR,N,780,789,9,XXXX,33R,Rwy7,5,0,0
AIH321,HL8271,B734,M,ARR,N,789,796,6,Rwy7,Rwy6,Rwy5,4,0,-
AIH321,HL8271,B734,M,ARR,N,796,802,6,Rwy6,Rwy5,Rwy4,4,0,-
AIH321,HL8271,B734,M,ARR,N,802,845,42,Rwy5,Rwy4,Rwy3,4,0,-
AIH321,HL8271,B734,M,ARR,N,845,860,14,Rwy4,Rwy3,Tx8,4,0,-
AIH321,HL8271,B734,M,ARR,N,860,918,58,Rwy3,Tx8,Tx3,5,0,-
AIH321,HL8271,B734,M,ARR,N,918,1070,151,Tx8,Tx3,gate113,4,0,-
AIH321,HL8271,B734,M,ARR,N,1070,1228,158,gate113,G644,XXXX,4,0,-
KAL854,HL7764,B772,H,ARR,N,1740,1749,9,XXXX,33R,Rwy7,5,0,0
KAL854,HL7764,B772,H,ARR,N,1749,1756,6,Rwy7,Rwy6,Rwy5,4,0,-
KAL854,HL7764,B772,H,ARR,N,1756,1762,6,Rwy6,Rwy5,Rwy4,4,0,-
KAL854,HL7764,B772,H,ARR,N,1762,1805,42,Rwy5,Rwy4,Tx15,4,0,-
KAL854,HL7764,B772,H,ARR,N,1805,1851,45,Rwy4,Tx15,Tx23,5,0,-
KAL854,HL7764,B772,H,ARR,N,1851,1953,102,Tx15,Tx23,Tx30,5,0,-
KAL854,HL7764,B772,H,ARR,N,1953,1981,27,Tx23,Tx30,Tx38,4,0,-
KAL854,HL7764,B772,H,ARR,N,1981,2004,22,Tx30,Tx38,Tx53,5,0,-
KAL854,HL7764,B772,H,ARR,N,2004,2011,6,Tx38,Tx53,Tx54,4,0,-
KAL854,HL7764,B772,H,ARR,N,2011,2071,60,Tx53,Tx54,Tx71,5,0,-
KAL854,HL7764,B772,H,ARR,N,2071,2084,12,Tx54,Tx71,Tx100,4,0,-
KAL854,HL7764,B772,H,ARR,N,2084,2099,15,Tx71,Tx100,Tx203,5,0,-
KAL854,HL7764,B772,H,ARR,N,2099,2109,10,Tx100,Tx203,Tx204,4,0,-
KAL854,HL7764,B772,H,ARR,N,2109,2120,10,Tx203,Tx204,Tx205,4,0,-
KAL854,HL7764,B772,H,ARR,N,2120,2150,30,Tx204,Tx205,Tx206,5,0,-
KAL854,HL7764,B772,H,ARR,N,2150,2161,10,Tx205,Tx206,Tx207,4,0,-
KAL854,HL7764,B772,H,ARR,N,2161,2173,12,Tx206,Tx207,Tx123,4,0,-
KAL854,HL7764,B772,H,ARR,N,2173,2224,50,Tx207,Tx123,Tx214,4,0,-
KAL854,HL7764,B772,H,ARR,N,2224,2235,11,Tx123,Tx214,gate23,5,0,-
KAL854,HL7764,B772,H,ARR,N,2235,2390,154,gate23,G27,XXXX,4,0,-
CES7557,B5858,B738,M,ARR,N,2460,2469,9,XXXX,33R,Rwy7,5,0,0
CES7557,B5858,B738,M,ARR,N,2469,2476,6,Rwy7,Rwy6,Rwy5,4,0,-
CES7557,B5858,B738,M,ARR,N,2476,2482,6,Rwy6,Rwy5,Rwy4,4,0,-
CES7557,B5858,B738,M,ARR,N,2482,2525,42,Rwy5,Rwy4,Tx15,4,0,-
CES7557,B5858,B738,M,ARR,N,2525,2571,45,Rwy4,Tx15,Tx23,5,0,-
CES7557,B5858,B738,M,ARR,N,2571,2673,102,Tx15,Tx23,Tx30,5,0,-
CES7557,B5858,B738,M,ARR,N,2673,2701,27,Tx23,Tx30,Tx38,4,0,-
CES7557,B5858,B738,M,ARR,N,2701,2724,22,Tx30,Tx38,Tx53,5,0,-
CES7557,B5858,B738,M,ARR,N,2724,2731,6,Tx38,Tx53,Tx54,4,0,-
CES7557,B5858,B738,M,ARR,N,2731,2791,60,Tx53,Tx54,Tx71,5,0,-
CES7557,B5858,B738,M,ARR,N,2791,2804,12,Tx54,Tx71,Tx100,4,0,-
CES7557,B5858,B738,M,ARR,N,2804,2819,15,Tx71,Tx100,Tx203,5,0,-
CES7557,B5858,B738,M,ARR,N,2819,2829,10,Tx100,Tx203,Tx204,4,0,-
CES7557,B5858,B738,M,ARR,N,2829,2840,10,Tx203,Tx204,Tx114,4,0,-
CES7557,B5858,B738,M,ARR,N,2840,2913,73,Tx204,Tx114,gate69,4,0,-
CES7557,B5858,B738,M,ARR,N,2913,2973,59,gate69,G118,XXXX,4,0,-
PAC963,N454PA,B744,H,ARR,N,3000,3009,9,XXXX,33R,Rwy7,5,0,0
PAC963,N454PA,B744,H,ARR,N,3009,3016,6,Rwy7,Rwy6,Rwy5,4,0,-
PAC963,N454PA,B744,H,ARR,N,3016,3022,6,Rwy6,Rwy5,Rwy4,4,0,-
PAC963,N454PA,B744,H,ARR,N,3022,3065,42,Rwy5,Rwy4,Rwy3,4,0,-
PAC963,N454PA,B744,H,ARR,N,3065,3080,14,Rwy4,Rwy3,Tx8,4,0,-
PAC963,N454PA,B744,H,ARR,N,3080,3138,58,Rwy3,Tx8,Tx3,5,0,-
PAC963,N454PA,B744,H,ARR,N,3138,3290,151,Tx8,Tx3,gate113,4,0,-
PAC963,N454PA,B744,H,ARR,N,3290,3448,158,gate113,G644,XXXX,4,0,-
GEC8410,DALCM,MD11,H,ARR,N,3600,3609,9,XXXX,33R,Rwy7,5,0,0
GEC8410,DALCM,MD11,H,ARR,N,3609,3616,6,Rwy7,Rwy6,Rwy5,4,0,-
GEC8410,DALCM,MD11,H,ARR,N,3616,3622,6,Rwy6,Rwy5,Rwy4,4,0,-
GEC8410,DALCM,MD11,H,ARR,N,3622,3665,42,Rwy5,Rwy4,Rwy3,4,0,-
GEC8410,DALCM,MD11,H,ARR,N,3665,3680,14,Rwy4,Rwy3,Tx8,4,0,-
GEC8410,DALCM,MD11,H,ARR,N,3680,3738,58,Rwy3,Tx8,Tx3,5,0,-
GEC8410,DALCM,MD11,H,ARR,N,3738,3890,151,Tx8,Tx3,Tx4,4,0,-
GEC8410,DALCM,MD11,H,ARR,N,3890,4036,146,Tx3,Tx4,gate112,5,0,-
GEC8410,DALCM,MD11,H,ARR,N,4036,4305,268,gate112,G615,XXXX,4,0,-
HKE614,BLCD,A320,M,ARR,N,8040,8049,9,XXXX,33R,Rwy7,5,0,0
HKE614,BLCD,A320,M,ARR,N,8049,8056,6,Rwy7,Rwy6,Rwy5,4,0,-
HKE614,BLCD,A320,M,ARR,N,8056,8062,6,Rwy6,Rwy5,Rwy4,4,0,-
HKE614,BLCD,A320,M,ARR,N,8062,8105,42,Rwy5,Rwy4,Tx15,4,0,-
HKE614,BLCD,A320,M,ARR,N,8105,8151,45,Rwy4,Tx15,Tx23,5,0,-
HKE614,BLCD,A320,M,ARR,N,8151,8253,102,Tx15,Tx23,Tx30,5,0,-
HKE614,BLCD,A320,M,ARR,N,8253,8281,27,Tx23,Tx30,Tx38,4,0,-
HKE614,BLCD,A320,M,ARR,N,8281,8304,22,Tx30,Tx38,Tx53,5,0,-
HKE614,BLCD,A320,M,ARR,N,8304,8311,6,Tx38,Tx53,Tx54,4,0,-
HKE614,BLCD,A320,M,ARR,N,8311,8371,60,Tx53,Tx54,Tx71,5,0,-
HKE614,BLCD,A320,M,ARR,N,8371,8384,12,Tx54,Tx71,Tx100,4,0,-
HKE614,BLCD,A320,M,ARR,N,8384,8399,15,Tx71,Tx100,Tx203,5,0,-
HKE614,BLCD,A320,M,ARR,N,8399,8409,10,Tx100,Tx203,Tx204,4,0,-
HKE614,BLCD,A320,M,ARR,N,8409,8420,10,Tx203,Tx204,Tx205,4,0,-
HKE614,BLCD,A320,M,ARR,N,8420,8450,30,Tx204,Tx205,Tx206,5,0,-
HKE614,BLCD,A320,M,ARR,N,8450,8461,10,Tx205,Tx206,Tx120,4,0,-
HKE614,BLCD,A320,M,ARR,N,8461,8510,49,Tx206,Tx120,gate51,5,0,-
HKE614,BLCD,A320,M,ARR,N,8510,8549,39,gate51,G115,XXXX,4,0,-
AAR191,HL7507,B763,H,ARR,N,10320,10329,9,XXXX,33R,Rwy7,5,0,0
AAR191,HL7507,B763,H,ARR,N,10329,10336,6,Rwy7,Rwy6,Rwy5,4,0,-
AAR191,HL7507,B763,H,ARR,N,10336,10342,6,Rwy6,Rwy5,Rwy4,4,0,-
AAR191,HL7507,B763,H,ARR,N,10342,10385,42,Rwy5,Rwy4,Rwy3,4,0,-
AAR191,HL7507,B763,H,ARR,N,10385,10400,14,Rwy4,Rwy3,Tx8,4,0,-
AAR191,HL7507,B763,H,ARR,N,10400,10458,58,Rwy3,Tx8,Tx3,5,0,-
AAR191,HL7507,B763,H,ARR,N,10458,10610,151,Tx8,Tx3,Tx4,4,0,-
AAR191,HL7507,B763,H,ARR,N,10610,10756,146,Tx3,Tx4,gate112,5,0,-
AAR191,HL7507,B763,H,ARR,N,10756,11025,268,gate112,G615,XXXX,4,0,-
PAC224,N643GT,B763,H,ARR,N,13320,13329,9,XXXX,33R,Rwy7,5,0,0
PAC224,N643GT,B763,H,ARR,N,13329,13336,6,Rwy7,Rwy6,Rwy5,4,0,-
PAC224,N643GT,B763,H,ARR,N,13336,13342,6,Rwy6,Rwy5,Rwy4,4,0,-
PAC224,N643GT,B763,H,ARR,N,13342,13385,42,Rwy5,Rwy4,Rwy3,4,0,-
PAC224,N643GT,B763,H,ARR,N,13385,13400,14,Rwy4,Rwy3,Tx8,4,0,-
PAC224,N643GT,B763,H,ARR,N,13400,13458,58,Rwy3,Tx8,Tx3,5,0,-
PAC224,N643GT,B763,H,ARR,N,13458,13610,151,Tx8,Tx3,gate113,4,0,-
PAC224,N643GT,B763,H,ARR,N,13610,13768,158,gate113,G644,XXXX,4,0,-
KAL868,HL7525,A333,H,ARR,N,13500,13509,9,XXXX,33R,Rwy7,5,0,0
