* Delay is in the first row of each flight.
* Flight ID,Address,Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%),Delay (seconds)
AJX8480,JA602F,B763,H,DEP,N,660,928,268,XXXX,G615,gate112,4,0,0
AJX8480,JA602F,B763,H,DEP,N,928,955,26,gate112,Tx10,Tx18,5,0,-
AJX8480,JA602F,B763,H,DEP,N,955,978,22,Tx10,Tx18,Tx27,5,0,-
AJX8480,JA602F,B763,H,DEP,N,978,1058,79,Tx18,Tx27,Tx32,5,0,-
AJX8480,JA602F,B763,H,DEP,N,1058,1085,27,Tx32,33L,XXXX,4,0,-
SIA603,9VSTV,A333,H,DEP,N,1200,1295,95,XXXX,G109,gate48,5,0,0
SIA603,9VSTV,A333,H,DEP,N,1295,1307,12,gate48,Tx207,Tx102,4,0,-
SIA603,9VSTV,A333,H,DEP,N,1307,1330,22,Tx207,Tx102,Tx92,5,0,-
SIA603,9VSTV,A333,H,DEP,N,1330,1341,11,Tx102,Tx92,Tx93,5,0,-
SIA603,9VSTV,A333,H,DEP,N,1341,1373,32,Tx92,Tx93,Tx94,5,0,-
SIA603,9VSTV,A333,H,DEP,N,1373,1402,28,Tx93,Tx94,Tx95,5,0,-
SIA603,9VSTV,A333,H,DEP,N,1402,1413,11,Tx94,Tx95,Tx77,5,0,-
SIA603,9VSTV,A333,H,DEP,N,1413,1428,14,Tx95,Tx77,Tx43,4,0,-
SIA603,9VSTV,A333,H,DEP,N,1428,1450,21,Tx43,33L,XXXX,4,0,-
QTR859,A7BAP,B773,H,DEP,N,1680,1716,36,XXXX,G121,gate54,5,0,0
QTR859,A7BAP,B773,H,DEP,N,1716,1727,11,gate54,Tx215,Tx128,5,0,-
QTR859,A7BAP,B773,H,DEP,N,1727,1763,36,Tx215,Tx128,Tx214,5,0,-
QTR859,A7BAP,B773,H,DEP,N,1763,1775,11,Tx128,Tx214,Tx125,5,0,-
QTR859,A7BAP,B773,H,DEP,N,1775,1799,24,Tx214,Tx125,Tx212,5,0,-
QTR859,A7BAP,B773,H,DEP,N,1799,1825,25,Tx125,Tx212,Tx210,4,0,-
QTR859,A7BAP,B773,H,DEP,N,1825,1838,13,Tx212,Tx210,Tx211,5,0,-
QTR859,A7BAP,B773,H,DEP,N,1838,1854,16,Tx210,Tx211,Tx107,4,0,-
QTR859,A7BAP,B773,H,DEP,N,1854,1882,27,Tx211,Tx107,Tx105,4,0,-
QTR859,A7BAP,B773,H,DEP,N,1882,1896,14,Tx107,Tx105,Tx95,4,0,-
QTR859,A7BAP,B773,H,DEP,N,1896,1908,11,Tx105,Tx95,Tx77,5,0,-
QTR859,A7BAP,B773,H,DEP,N,1908,1922,14,Tx95,Tx77,Tx43,4,0,-
QTR859,A7BAP,B773,H,DEP,N,1922,1944,21,Tx43,33L,XXXX,4,0,-
ETD873,A6EHC,A345,H,DEP,N,3060,3137,77,XXXX,G112,gate67,4,0,0
ETD873,A6EHC,A345,H,DEP,N,3137,3210,73,gate67,Tx114,Tx205,4,0,-
ETD873,A6EHC,A345,H,DEP,N,3210,3240,30,Tx114,Tx205,Tx206,5,0,-
ETD873,A6EHC,A345,H,DEP,N,3240,3251,10,Tx205,Tx206,Tx207,4,0,-
ETD873,A6EHC,A345,H,DEP,N,3251,3263,12,Tx206,Tx207,Tx102,4,0,-
ETD873,A6EHC,A345,H,DEP,N,3263,3286,22,Tx207,Tx102,Tx92,5,0,-
ETD873,A6EHC,A345,H,DEP,N,3286,3297,11,Tx102,Tx92,Tx93,5,0,-
ETD873,A6EHC,A345,H,DEP,N,3297,3330,32,Tx92,Tx93,Tx94,5,0,-
ETD873,A6EHC,A345,H,DEP,N,3330,3358,28,Tx93,Tx94,Tx95,5,0,-
ETD873,A6EHC,A345,H,DEP,N,3358,3369,11,Tx94,Tx95,Tx77,5,0,-
ETD873,A6EHC,A345,H,DEP,N,3369,3384,14,Tx95,Tx77,Tx43,4,0,-
ETD873,A6EHC,A345,H,DEP,N,3384,3406,21,Tx43,33L,XXXX,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3780,3826,46,XXXX,G111,gate49,4,0,0
KLM856,PHBFO,B747,H,DEP,N,3826,3839,12,gate49,Tx213,Tx214,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3839,3850,11,Tx213,Tx214,Tx125,5,0,-
KLM856,PHBFO,B747,H,DEP,N,3850,3875,24,Tx214,Tx125,Tx212,5,0,-
KLM856,PHBFO,B747,H,DEP,N,3875,3900,25,Tx125,Tx212,Tx210,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3900,3914,13,Tx212,Tx210,Tx211,5,0,-
KLM856,PHBFO,B747,H,DEP,N,3914,3930,16,Tx210,Tx211,Tx107,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3930,3957,27,Tx211,Tx107,Tx105,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3957,3972,14,Tx107,Tx105,Tx95,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3972,3983,11,Tx105,Tx95,Tx77,5,0,-
KLM856,PHBFO,B747,H,DEP,N,3983,3997,14,Tx95,Tx77,Tx43,4,0,-
KLM856,PHBFO,B747,H,DEP,N,3997,4019,21,Tx43,33L,XXXX,4,0,-
AAR987,HL7420,B744,H,DEP,N,4306,4575,268,XXXX,G615,gate112,4,0,346
AAR987,HL7420,B744,H,DEP,N,4575,4656,81,gate112,Tx5,Tx11,5,0,-
AAR987,HL7420,B744,H,DEP,N,4656,4682,25,Tx11,33R,XXXX,4,0,-
PAC717,N498MC,B744,H,DEP,N,4380,4538,158,XXXX,G644,gate113,4,0,0
PAC717,N498MC,B744,H,DEP,N,4538,4685,146,gate113,Tx4,Tx10,5,0,-
PAC717,N498MC,B744,H,DEP,N,4685,4711,26,Tx4,Tx10,Tx18,5,0,-
PAC717,N498MC,B744,H,DEP,N,4711,4734,22,Tx10,Tx18,Tx27,5,0,-
PAC717,N498MC,B744,H,DEP,N,4734,4814,79,Tx18,Tx27,Tx32,5,0,-
PAC717,N498MC,B744,H,DEP,N,4814,4841,27,Tx32,33L,XXXX,4,0,-
EZD047,RPC8987,A320,M,DEP,N,4740,4793,53,XXXX,G114,gate68,5,0,0
EZD047,RPC8987,A320,M,DEP,N,4793,4866,73,gate68,Tx114,Tx205,4,0,-
EZD047,RPC8987,A320,M,DEP,N,4866,4896,30,Tx114,Tx205,Tx206,5,0,-
EZD047,RPC8987,A320,M,DEP,N,4896,4907,10,Tx205,Tx206,Tx207,4,0,-
EZD047,RPC8987,A320,M,DEP,N,4907,4919,12,Tx206,Tx207,Tx102,4,0,-
