* Link states in hour
** ID,Day,Time in hour,State
gate1,1,0,DEFAULT
gate1,1,1,DEFAULT
gate1,1,2,DEFAULT
gate1,1,3,DEFAULT
gate1,1,4,DEFAULT
gate1,1,5,DEFAULT
gate1,1,6,DEFAULT
gate1,1,7,DEFAULT
gate1,1,8,DEFAULT
gate1,1,9,DEFAULT
gate1,1,10,DEFAULT
gate1,1,11,DEFAULT
gate1,1,12,DEFAULT
gate1,1,13,DEFAULT
gate1,1,14,DEFAULT
gate1,1,15,DEFAULT
gate1,1,16,DEFAULT
gate1,1,17,DEFAULT
gate1,1,18,DEFAULT
gate1,1,19,DEFAULT
gate1,1,20,DEFAULT
gate1,1,21,DEFAULT
gate1,1,22,DEFAULT
gate1,1,23,DEFAULT
gate2,1,0,DEFAULT
gate2,1,1,DEFAULT
gate2,1,2,DEFAULT
gate2,1,3,DEFAULT
gate2,1,4,DEFAULT
gate2,1,5,DEFAULT
gate2,1,6,DEFAULT
gate2,1,7,DEFAULT
gate2,1,8,DEFAULT
gate2,1,9,DEFAULT
gate2,1,10,DEFAULT
gate2,1,11,DEFAULT
gate2,1,12,DEFAULT
gate2,1,13,DEFAULT
gate2,1,14,DEFAULT
gate2,1,15,DEFAULT
gate2,1,16,DEFAULT
gate2,1,17,DEFAULT
gate2,1,18,DEFAULT
gate2,1,19,DEFAULT
gate2,1,20,DEFAULT
gate2,1,21,DEFAULT
gate2,1,22,DEFAULT
gate2,1,23,DEFAULT
gate3,1,0,DEFAULT
gate3,1,1,DEFAULT
gate3,1,2,DEFAULT
gate3,1,3,DEFAULT
gate3,1,4,DEFAULT
gate3,1,5,DEFAULT
gate3,1,6,DEFAULT
gate3,1,7,DEFAULT
gate3,1,8,DEFAULT
gate3,1,9,DEFAULT
gate3,1,10,DEFAULT
gate3,1,11,DEFAULT
gate3,1,12,DEFAULT
gate3,1,13,DEFAULT
gate3,1,14,DEFAULT
gate3,1,15,DEFAULT
gate3,1,16,DEFAULT
gate3,1,17,DEFAULT
gate3,1,18,DEFAULT
gate3,1,19,DEFAULT
gate3,1,20,DEFAULT
gate3,1,21,DEFAULT
gate3,1,22,DEFAULT
gate3,1,23,DEFAULT
gate4,1,0,DEFAULT
gate4,1,1,DEFAULT
gate4,1,2,DEFAULT
gate4,1,3,DEFAULT
gate4,1,4,DEFAULT
gate4,1,5,DEFAULT
gate4,1,6,DEFAULT
gate4,1,7,DEFAULT
gate4,1,8,DEFAULT
gate4,1,9,DEFAULT
gate4,1,10,DEFAULT
gate4,1,11,DEFAULT
gate4,1,12,DEFAULT
gate4,1,13,DEFAULT
gate4,1,14,DEFAULT
gate4,1,15,DEFAULT
gate4,1,16,DEFAULT
gate4,1,17,DEFAULT
gate4,1,18,DEFAULT
gate4,1,19,DEFAULT
gate4,1,20,DEFAULT
gate4,1,21,DEFAULT
gate4,1,22,DEFAULT
gate4,1,23,DEFAULT
gate5,1,0,DEFAULT
gate5,1,1,DEFAULT
gate5,1,2,DEFAULT
gate5,1,3,DEFAULT
gate5,1,4,DEFAULT
gate5,1,5,DEFAULT
gate5,1,6,DEFAULT
gate5,1,7,DEFAULT
gate5,1,8,DEFAULT
gate5,1,9,DEFAULT
gate5,1,10,DEFAULT
gate5,1,11,DEFAULT
gate5,1,12,DEFAULT
gate5,1,13,DEFAULT
gate5,1,14,DEFAULT
gate5,1,15,DEFAULT
gate5,1,16,DEFAULT
gate5,1,17,DEFAULT
gate5,1,18,DEFAULT
gate5,1,19,DEFAULT
gate5,1,20,DEFAULT
gate5,1,21,DEFAULT
gate5,1,22,DEFAULT
gate5,1,23,DEFAULT
gate6,1,0,DEFAULT
gate6,1,1,DEFAULT
gate6,1,2,DEFAULT
gate6,1,3,DEFAULT
gate6,1,4,DEFAULT
gate6,1,5,DEFAULT
gate6,1,6,DEFAULT
gate6,1,7,DEFAULT
gate6,1,8,DEFAULT
gate6,1,9,DEFAULT
gate6,1,10,DEFAULT
gate6,1,11,DEFAULT
gate6,1,12,DEFAULT
gate6,1,13,DEFAULT
gate6,1,14,DEFAULT
gate6,1,15,DEFAULT
gate6,1,16,DEFAULT
gate6,1,17,DEFAULT
gate6,1,18,DEFAULT
gate6,1,19,DEFAULT
gate6,1,20,DEFAULT
gate6,1,21,DEFAULT
gate6,1,22,DEFAULT
gate6,1,23,DEFAULT
gate7,1,0,DEFAULT
gate7,1,1,DEFAULT
gate7,1,2,DEFAULT
gate7,1,3,DEFAULT
gate7,1,4,DEFAULT
gate7,1,5,DEFAULT
gate7,1,6,DEFAULT
gate7,1,7,DEFAULT
gate7,1,8,DEFAULT
gate7,1,9,DEFAULT
gate7,1,10,DEFAULT
gate7,1,11,DEFAULT
gate7,1,12,DEFAULT
gate7,1,13,DEFAULT
gate7,1,14,DEFAULT
gate7,1,15,DEFAULT
gate7,1,16,DEFAULT
gate7,1,17,DEFAULT
gate7,1,18,DEFAULT
gate7,1,19,DEFAULT
gate7,1,20,DEFAULT
gate7,1,21,DEFAULT
gate7,1,22,DEFAULT
gate7,1,23,DEFAULT
gate8,1,0,DEFAULT
gate8,1,1,DEFAULT
gate8,1,2,DEFAULT
gate8,1,3,DEFAULT
gate8,1,4,DEFAULT
gate8,1,5,DEFAULT
