* Node states in hour
** ID,Day,Time in hour,State
G1,1,0,VMC_NDR_3600_NAR_3600_STD_89
G1,1,1,VMC_NDR_3600_NAR_3600_STD_89
G1,1,2,VMC_NDR_3600_NAR_3600_STD_89
G1,1,3,VMC_NDR_3600_NAR_3600_STD_89
G1,1,4,VMC_NDR_3600_NAR_3600_STD_89
G1,1,5,VMC_NDR_3600_NAR_3600_STD_89
G1,1,6,VMC_NDR_3600_NAR_3600_STD_89
G1,1,7,VMC_NDR_3600_NAR_3600_STD_89
G1,1,8,VMC_NDR_3600_NAR_3600_STD_89
G1,1,9,VMC_NDR_3600_NAR_3600_STD_89
G1,1,10,VMC_NDR_3600_NAR_3600_STD_89
G1,1,11,VMC_NDR_3600_NAR_3600_STD_89
G1,1,12,VMC_NDR_3600_NAR_3600_STD_89
G1,1,13,VMC_NDR_3600_NAR_3600_STD_89
G1,1,14,VMC_NDR_3600_NAR_3600_STD_89
G1,1,15,VMC_NDR_3600_NAR_3600_STD_89
G1,1,16,VMC_NDR_3600_NAR_3600_STD_89
G1,1,17,VMC_NDR_3600_NAR_3600_STD_89
G1,1,18,VMC_NDR_3600_NAR_3600_STD_89
G1,1,19,VMC_NDR_3600_NAR_3600_STD_89
G1,1,20,VMC_NDR_3600_NAR_3600_STD_89
G1,1,21,VMC_NDR_3600_NAR_3600_STD_89
G1,1,22,VMC_NDR_3600_NAR_3600_STD_89
G1,1,23,VMC_NDR_3600_NAR_3600_STD_89
G2,1,0,VMC_NDR_3600_NAR_3600_STD_89
G2,1,1,VMC_NDR_3600_NAR_3600_STD_89
G2,1,2,VMC_NDR_3600_NAR_3600_STD_89
G2,1,3,VMC_NDR_3600_NAR_3600_STD_89
G2,1,4,VMC_NDR_3600_NAR_3600_STD_89
G2,1,5,VMC_NDR_3600_NAR_3600_STD_89
G2,1,6,VMC_NDR_3600_NAR_3600_STD_89
G2,1,7,VMC_NDR_3600_NAR_3600_STD_89
G2,1,8,VMC_NDR_3600_NAR_3600_STD_89
G2,1,9,VMC_NDR_3600_NAR_3600_STD_89
G2,1,10,VMC_NDR_3600_NAR_3600_STD_89
G2,1,11,VMC_NDR_3600_NAR_3600_STD_89
G2,1,12,VMC_NDR_3600_NAR_3600_STD_89
G2,1,13,VMC_NDR_3600_NAR_3600_STD_89
G2,1,14,VMC_NDR_3600_NAR_3600_STD_89
G2,1,15,VMC_NDR_3600_NAR_3600_STD_89
G2,1,16,VMC_NDR_3600_NAR_3600_STD_89
G2,1,17,VMC_NDR_3600_NAR_3600_STD_89
G2,1,18,VMC_NDR_3600_NAR_3600_STD_89
G2,1,19,VMC_NDR_3600_NAR_3600_STD_89
G2,1,20,VMC_NDR_3600_NAR_3600_STD_89
G2,1,21,VMC_NDR_3600_NAR_3600_STD_89
G2,1,22,VMC_NDR_3600_NAR_3600_STD_89
G2,1,23,VMC_NDR_3600_NAR_3600_STD_89
G3,1,0,VMC_NDR_3600_NAR_3600_STD_89
G3,1,1,VMC_NDR_3600_NAR_3600_STD_89
G3,1,2,VMC_NDR_3600_NAR_3600_STD_89
G3,1,3,VMC_NDR_3600_NAR_3600_STD_89
G3,1,4,VMC_NDR_3600_NAR_3600_STD_89
G3,1,5,VMC_NDR_3600_NAR_3600_STD_89
G3,1,6,VMC_NDR_3600_NAR_3600_STD_89
G3,1,7,VMC_NDR_3600_NAR_3600_STD_89
G3,1,8,VMC_NDR_3600_NAR_3600_STD_89
G3,1,9,VMC_NDR_3600_NAR_3600_STD_89
G3,1,10,VMC_NDR_3600_NAR_3600_STD_89
G3,1,11,VMC_NDR_3600_NAR_3600_STD_89
G3,1,12,VMC_NDR_3600_NAR_3600_STD_89
G3,1,13,VMC_NDR_3600_NAR_3600_STD_89
G3,1,14,VMC_NDR_3600_NAR_3600_STD_89
G3,1,15,VMC_NDR_3600_NAR_3600_STD_89
G3,1,16,VMC_NDR_3600_NAR_3600_STD_89
G3,1,17,VMC_NDR_3600_NAR_3600_STD_89
G3,1,18,VMC_NDR_3600_NAR_3600_STD_89
G3,1,19,VMC_NDR_3600_NAR_3600_STD_89
G3,1,20,VMC_NDR_3600_NAR_3600_STD_89
G3,1,21,VMC_NDR_3600_NAR_3600_STD_89
G3,1,22,VMC_NDR_3600_NAR_3600_STD_89
G3,1,23,VMC_NDR_3600_NAR_3600_STD_89
G6,1,0,VMC_NDR_3600_NAR_3600_STD_89
G6,1,1,VMC_NDR_3600_NAR_3600_STD_89
G6,1,2,VMC_NDR_3600_NAR_3600_STD_89
G6,1,3,VMC_NDR_3600_NAR_3600_STD_89
G6,1,4,VMC_NDR_3600_NAR_3600_STD_89
G6,1,5,VMC_NDR_3600_NAR_3600_STD_89
G6,1,6,VMC_NDR_3600_NAR_3600_STD_89
G6,1,7,VMC_NDR_3600_NAR_3600_STD_89
G6,1,8,VMC_NDR_3600_NAR_3600_STD_89
G6,1,9,VMC_NDR_3600_NAR_3600_STD_89
G6,1,10,VMC_NDR_3600_NAR_3600_STD_89
G6,1,11,VMC_NDR_3600_NAR_3600_STD_89
