* Link capacity after scheduling
* Link ID, Time (sec), Max Capacity, Count
gate1,0,2,0
gate1,3600,2,0
gate1,7200,2,0
gate1,10800,2,0
gate1,14400,2,0
gate1,18000,2,0
gate1,21600,2,0
gate1,25200,2,0
gate1,28788,2,-1
gate1,28800,2,-1
gate1,28886,2,0
gate1,32400,2,0
gate1,36000,2,0
gate1,39600,2,0
gate1,43200,2,0
gate1,46800,2,0
gate1,50400,2,0
gate1,54000,2,0
gate1,57600,2,0
gate1,61200,2,0
gate1,64800,2,0
gate1,68400,2,0
gate1,68584,2,1
gate1,68697,2,0
gate1,72000,2,0
gate1,75600,2,0
gate1,79200,2,0
gate1,82800,2,0
gate2,0,2,0
gate2,3600,2,0
gate2,7200,2,0
gate2,10800,2,0
gate2,14400,2,0
gate2,18000,2,0
gate2,21600,2,0
gate2,24528,2,-1
gate2,24628,2,0
gate2,25200,2,0
gate2,28800,2,0
gate2,32400,2,0
gate2,33049,2,1
gate2,33164,2,0
gate2,36000,2,0
gate2,39600,2,0
gate2,43200,2,0
gate2,46800,2,0
gate2,50400,2,0
gate2,54000,2,0
gate2,57600,2,0
gate2,61200,2,0
gate2,64548,2,-1
gate2,64648,2,0
gate2,64800,2,0
gate2,68400,2,0
gate2,71460,2,1
gate2,71559,2,0
gate2,72000,2,0
gate2,75600,2,0
gate2,79200,2,0
gate2,82800,2,0
gate3,0,2,0
gate3,3600,2,0
gate3,7200,2,0
gate3,10800,2,0
gate3,14400,2,0
gate3,18000,2,0
gate3,21600,2,0
gate3,25200,2,0
gate3,28800,2,0
gate3,32400,2,0
gate3,35107,2,1
gate3,35218,2,0
gate3,36000,2,0
gate3,39600,2,0
gate3,43200,2,0
gate3,46800,2,0
gate3,50400,2,0
gate3,54000,2,0
gate3,57600,2,0
gate3,61200,2,0
gate3,64800,2,0
gate3,65208,2,-1
gate3,65304,2,0
gate3,68400,2,0
gate3,72000,2,0
gate3,75600,2,0
gate3,79200,2,0
gate3,82800,2,0
gate4,0,2,0
gate4,3600,2,0
gate4,7200,2,0
gate4,10800,2,0
gate4,14400,2,0
gate4,18000,2,0
gate4,21600,2,0
gate4,25200,2,0
gate4,27708,2,-1
gate4,27793,2,0
gate4,28800,2,0
gate4,32400,2,0
gate4,36000,2,0
gate4,38603,2,1
gate4,38701,2,0
gate4,39600,2,0
gate4,40908,2,-1
gate4,40993,2,0
gate4,43200,2,0
gate4,46800,2,0
gate4,50400,2,0
gate4,50760,2,1
gate4,50844,2,0
gate4,54000,2,0
gate4,54830,2,-1
gate4,54915,2,0
gate4,57600,2,0
gate4,60948,2,-1
gate4,61033,2,0
gate4,61200,2,0
gate4,64800,2,0
gate4,68400,2,0
gate4,68760,2,1
gate4,68844,2,0
gate4,72000,2,0
gate4,75600,2,0
gate4,76351,2,1
gate4,76449,2,0
gate4,79200,2,0
gate4,82800,2,0
gate5,0,2,0
gate5,3600,2,0
gate5,7200,2,0
gate5,10800,2,0
gate5,14400,2,0
gate5,18000,2,0
gate5,18408,2,-1
gate5,18477,2,0
gate5,21600,2,0
gate5,25200,2,0
gate5,27190,2,-1
gate5,27259,2,0
gate5,28800,2,0
gate5,32400,2,0
gate5,35640,2,1
gate5,35708,2,0
gate5,36000,2,0
gate5,39600,2,0
gate5,43200,2,0
gate5,46800,2,0
gate5,50400,2,0
gate5,51108,2,-1
gate5,51177,2,0
gate5,54000,2,0
gate5,57600,2,0
gate5,61200,2,0
gate5,64800,2,0
gate5,67649,2,1
gate5,67728,2,0
gate5,68400,2,0
gate5,72000,2,0
gate5,72120,2,1
gate5,72188,2,0
gate5,75600,2,0
gate5,78186,2,1
gate5,78265,2,0
gate5,79200,2,0
gate5,82800,2,0
gate6,0,1,0
gate6,3600,1,0
gate6,7200,1,0
gate6,10800,1,0
gate6,14400,1,0
gate6,18000,1,0
gate6,20289,1,-1
gate6,20332,1,0
gate6,21600,1,0
gate6,25200,1,0
gate6,28800,1,0
gate6,29868,1,-1
gate6,29911,1,0
gate6,31606,1,1
gate6,31655,1,0
gate6,32400,1,0
gate6,36000,1,0
gate6,39099,1,1
gate6,39149,1,0
gate6,39600,1,0
gate6,43200,1,0
gate6,46800,1,0
gate6,48720,1,1
gate6,48762,1,0
gate6,48828,1,-1
gate6,48871,1,0
gate6,50400,1,0
gate6,54000,1,0
gate6,55735,1,1
gate6,55785,1,0
gate6,56148,1,-1
gate6,56191,1,0
gate6,57600,1,0
gate6,60168,1,-1
gate6,60211,1,0
gate6,61200,1,0
gate6,64800,1,0
gate6,65593,1,1
gate6,65642,1,0
gate6,68400,1,0
gate6,72000,1,0
gate6,72840,1,1
gate6,72882,1,0
gate6,75600,1,0
gate6,79200,1,0
gate6,82800,1,0
gate7,0,1,0
gate7,3600,1,0
gate7,7200,1,0
gate7,10800,1,0
gate7,14400,1,0
gate7,18000,1,0
gate7,21600,1,0
gate7,25200,1,0
gate7,28068,1,-1
gate7,28096,1,0
gate7,28800,1,0
gate7,32400,1,0
gate7,33360,1,1
gate7,33387,1,0
gate7,36000,1,0
gate7,38279,1,1
gate7,38311,1,0
gate7,39600,1,0
gate7,43200,1,0
gate7,46800,1,0
gate7,48948,1,-1
gate7,48976,1,0
gate7,50400,1,0
gate7,54000,1,0
gate7,57600,1,0
gate7,58074,1,-1
gate7,58101,1,0
gate7,61200,1,0
gate7,63468,1,-1
gate7,63496,1,0
gate7,64800,1,0
gate7,68400,1,0
gate7,70908,1,-1
gate7,70936,1,0
gate7,71075,1,1
gate7,71107,1,0
gate7,72000,1,0
gate7,75600,1,0
gate7,77317,1,1
gate7,77349,1,0
gate7,79200,1,0
gate7,82800,1,0
gate7,84454,1,-1
gate7,84482,1,0
gate8,0,1,0
gate8,3600,1,0
gate8,7200,1,0
gate8,10800,1,0
gate8,14400,1,0
gate8,16968,1,-1
gate8,16999,1,0
gate8,18000,1,0
gate8,21600,1,0
gate8,24168,1,-1
gate8,24199,1,0
gate8,25200,1,0
gate8,28800,1,0
gate8,31380,1,1
gate8,31410,1,0
gate8,32400,1,0
gate8,36000,1,0
gate8,37975,1,1
gate8,38011,1,0
gate8,39600,1,0
gate8,43200,1,0
gate8,46800,1,0
gate8,48180,1,1
gate8,48210,1,0
gate8,50400,1,0
gate8,54000,1,0
gate8,55630,1,1
gate8,55665,1,0
gate8,57600,1,0
gate8,58548,1,-1
gate8,58579,1,0
gate8,61200,1,0
gate8,62568,1,-1
gate8,62599,1,0
gate8,64800,1,0
gate8,68400,1,0
gate8,72000,1,0
gate8,73560,1,1
gate8,73590,1,0
gate8,75600,1,0
gate8,79200,1,0
gate8,82800,1,0
gate9,0,2,0
gate9,3600,2,0
gate9,7200,2,0
gate9,10800,2,0
gate9,14400,2,0
gate9,18000,2,0
gate9,21600,2,0
gate9,25003,2,-1
gate9,25105,2,0
gate9,25200,2,0
gate9,28800,2,0
gate9,32400,2,0
gate9,33615,2,1
gate9,33733,2,0
gate9,36000,2,0
gate9,36360,2,1
gate9,36461,2,0
gate9,39600,2,0
gate9,41577,2,-1
gate9,41679,2,0
gate9,43200,2,0
gate9,46800,2,0
gate9,49440,2,1
gate9,49541,2,0
gate9,50022,2,-1
gate9,50123,2,0
gate9,50400,2,0
gate9,54000,2,0
gate9,56312,2,1
gate9,56429,2,0
gate9,57600,2,0
gate9,59274,2,-1
gate9,59376,2,0
gate9,61200,2,0
gate9,64800,2,0
gate9,67500,2,1
gate9,67601,2,0
gate9,68400,2,0
gate9,70017,2,-1
gate9,70119,2,0
gate9,72000,2,0
gate9,75600,2,0
gate9,79200,2,0
gate9,80585,2,1
gate9,80703,2,0
gate9,82800,2,0
gate10,0,2,0
gate10,3600,2,0
gate10,7200,2,0
gate10,10800,2,0
gate10,14400,2,0
gate10,18000,2,0
gate10,21600,2,0
gate10,25200,2,0
gate10,28800,2,0
gate10,32011,2,1
gate10,32103,2,0
gate10,32400,2,0
gate10,35212,2,1
gate10,35303,2,0
gate10,36000,2,0
gate10,39600,2,0
gate10,40737,2,-1
gate10,40816,2,0
gate10,43200,2,0
gate10,46800,2,0
gate10,47321,2,-1
gate10,47400,2,0
gate10,50400,2,0
gate10,52800,2,1
gate10,52880,2,0
gate10,54000,2,0
gate10,57600,2,0
gate10,61200,2,0
gate10,61541,2,-1
gate10,61620,2,0
gate10,64800,2,0
gate10,66840,2,1
gate10,66918,2,0
gate10,68400,2,0
gate10,70979,2,1
gate10,71070,2,0
gate10,72000,2,0
gate10,72477,2,-1
gate10,72556,2,0
gate10,75600,2,0
gate10,79200,2,0
gate10,82800,2,0
gate10,84139,2,-1
gate10,84218,2,0
gate11,0,2,0
gate11,3600,2,0
gate11,7200,2,0
gate11,10800,2,0
gate11,14400,2,0
gate11,16557,2,-1
gate11,16619,2,0
gate11,18000,2,0
gate11,21600,2,0
gate11,25197,2,-1
gate11,25200,2,-1
gate11,25259,2,0
gate11,28800,2,0
gate11,28857,2,-1
gate11,28919,2,0
gate11,32400,2,0
gate11,33752,2,1
gate11,33823,2,0
gate11,36000,2,0
gate11,39600,2,0
gate11,39978,2,1
gate11,40049,2,0
gate11,43200,2,0
gate11,46800,2,0
gate11,49140,2,1
gate11,49206,2,0
gate11,50400,2,0
gate11,52372,2,-1
gate11,52434,2,0
gate11,54000,2,0
gate11,57600,2,0
gate11,60360,2,1
gate11,60421,2,0
gate11,61200,2,0
gate11,62114,2,-1
gate11,62176,2,0
gate11,64800,2,0
gate11,68400,2,0
gate11,72000,2,0
gate11,74640,2,1
gate11,74701,2,0
gate11,75600,2,0
gate11,79200,2,0
gate11,82800,2,0
gate11,83872,2,1
gate11,83943,2,0
gate12,0,1,0
gate12,3600,1,0
gate12,7200,1,0
gate12,10800,1,0
gate12,13977,1,-1
gate12,14028,1,0
gate12,14400,1,0
gate12,18000,1,0
gate12,21597,1,-1
gate12,21600,1,-1
gate12,21648,1,0
gate12,25200,1,0
gate12,26397,1,-1
gate12,26448,1,0
gate12,28800,1,0
gate12,32400,1,0
gate12,34979,1,1
gate12,35038,1,0
gate12,36000,1,0
gate12,39600,1,0
gate12,42529,1,-1
gate12,42580,1,0
gate12,43200,1,0
gate12,46800,1,0
gate12,50400,1,0
gate12,54000,1,0
gate12,57090,1,1
gate12,57149,1,0
gate12,57600,1,0
gate12,61200,1,0
gate12,64800,1,0
gate12,68400,1,0
gate12,68435,1,1
gate12,68494,1,0
gate12,72000,1,0
gate12,72960,1,1
gate12,73011,1,0
gate12,75600,1,0
gate12,79200,1,0
gate12,82800,1,0
gate13,0,1,0
gate13,3600,1,0
gate13,7200,1,0
gate13,10800,1,0
gate13,14400,1,0
gate13,18000,1,0
gate13,21600,1,0
gate13,25200,1,0
gate13,28800,1,0
gate13,29397,1,-1
gate13,29446,1,0
gate13,29580,1,1
gate13,29629,1,0
gate13,32400,1,0
gate13,36000,1,0
gate13,36840,1,1
gate13,36889,1,0
gate13,39600,1,0
gate13,43200,1,0
gate13,43497,1,-1
gate13,43546,1,0
gate13,46800,1,0
gate13,50400,1,0
gate13,51817,1,1
gate13,51874,1,0
gate13,54000,1,0
gate13,56574,1,-1
gate13,56624,1,0
gate13,57600,1,0
gate13,61200,1,0
gate13,62940,1,1
gate13,62989,1,0
gate13,64800,1,0
gate13,68400,1,0
gate13,68880,1,1
gate13,68929,1,0
gate13,72000,1,0
gate13,73560,1,1
gate13,73609,1,0
gate13,75600,1,0
gate13,79200,1,0
gate13,82800,1,0
gate14,0,2,0
gate14,3600,2,0
gate14,7200,2,0
gate14,10800,2,0
gate14,14384,2,-1
gate14,14400,2,-1
gate14,14443,2,0
gate14,18000,2,0
gate14,21600,2,0
gate14,25200,2,0
gate14,28800,2,0
gate14,31124,2,-1
gate14,31183,2,0
gate14,32400,2,0
gate14,32470,2,1
gate14,32538,2,0
gate14,36000,2,0
gate14,39213,2,1
gate14,39281,2,0
gate14,39600,2,0
gate14,43200,2,0
gate14,46800,2,0
gate14,50220,2,1
gate14,50278,2,0
gate14,50400,2,0
gate14,54000,2,0
gate14,54087,2,-1
gate14,54146,2,0
gate14,57447,2,-1
gate14,57506,2,0
gate14,57600,2,0
gate14,61200,2,0
gate14,62847,2,-1
gate14,62906,2,0
gate14,64800,2,0
gate14,68400,2,0
gate14,71280,2,1
gate14,71338,2,0
gate14,72000,2,0
gate14,75600,2,0
gate14,79200,2,0
gate14,82800,2,0
gate15,0,2,0
gate15,3600,2,0
gate15,7200,2,0
gate15,10800,2,0
gate15,14400,2,0
gate15,18000,2,0
gate15,21600,2,0
gate15,23384,2,-1
gate15,23448,2,0
gate15,25200,2,0
gate15,27244,2,-1
gate15,27309,2,0
gate15,28800,2,0
gate15,32400,2,0
gate15,35382,2,1
gate15,35457,2,0
gate15,36000,2,0
gate15,39600,2,0
gate15,43054,2,-1
gate15,43119,2,0
gate15,43200,2,0
gate15,46800,2,0
gate15,50400,2,0
gate15,52140,2,1
gate15,52204,2,0
gate15,54000,2,0
gate15,56190,2,-1
gate15,56254,2,0
gate15,57600,2,0
gate15,61200,2,0
gate15,61437,2,1
gate15,61512,2,0
gate15,64800,2,0
gate15,65024,2,-1
gate15,65088,2,0
gate15,68400,2,0
gate15,70204,2,1
gate15,70278,2,0
gate15,71084,2,-1
gate15,71148,2,0
gate15,72000,2,0
gate15,75600,2,0
gate15,79200,2,0
gate15,82800,2,0
gate16,0,2,0
gate16,3600,2,0
gate16,7200,2,0
gate16,10800,2,0
gate16,14400,2,0
gate16,18000,2,0
gate16,21600,2,0
gate16,21764,2,-1
gate16,21850,2,0
gate16,25200,2,0
gate16,28800,2,0
gate16,32400,2,0
gate16,35281,2,1
gate16,35381,2,0
gate16,36000,2,0
gate16,39600,2,0
gate16,42874,2,1
gate16,42974,2,0
gate16,43200,2,0
gate16,43650,2,-1
gate16,43736,2,0
gate16,46800,2,0
gate16,50400,2,0
gate16,51840,2,1
gate16,51926,2,0
gate16,54000,2,0
gate16,57600,2,0
gate16,59067,2,-1
gate16,59154,2,0
gate16,61200,2,0
gate16,64800,2,0
gate16,68400,2,0
gate16,70867,2,1
gate16,70967,2,0
gate16,72000,2,0
gate16,72164,2,-1
gate16,72250,2,0
gate16,75600,2,0
gate16,79200,2,0
gate16,80850,2,-1
gate16,80936,2,0
gate16,82800,2,0
gate17,0,1,0
gate17,3600,1,0
gate17,7200,1,0
gate17,10800,1,0
gate17,14400,1,0
gate17,18000,1,0
gate17,19297,1,-1
gate17,19352,1,0
gate17,21600,1,0
gate17,25200,1,0
gate17,28800,1,0
gate17,31491,1,1
gate17,31555,1,0
gate17,32235,1,-1
gate17,32290,1,0
gate17,32400,1,0
gate17,36000,1,0
gate17,37860,1,1
gate17,37915,1,0
gate17,39600,1,0
gate17,43200,1,0
gate17,46800,1,0
gate17,50400,1,-1
gate17,50455,1,0
gate17,54000,1,0
gate17,57600,1,0
gate17,58980,1,1
gate17,59035,1,0
