* Delay is in the first row of each flight.
* Flight ID,Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%),Delay (seconds)
AJX8480,B763,H,DEP,N,660,928,268,XXXX,G615,gate112,4,0,0
AJX8480,B763,H,DEP,N,928,955,26,gate112,Tx10,Tx18,5,0,-
AJX8480,B763,H,DEP,N,955,978,22,Tx10,Tx18,Tx27,5,0,-
AJX8480,B763,H,DEP,N,978,1058,79,Tx18,Tx27,Tx32,5,0,-
AJX8480,B763,H,DEP,N,1058,1085,27,Tx32,33L,XXXX,4,0,-
AIH321,B734,M,ARR,N,780,789,9,XXXX,33R,Rwy7,5,0,0
AIH321,B734,M,ARR,N,789,796,6,Rwy7,Rwy6,Rwy5,4,0,-
AIH321,B734,M,ARR,N,796,802,6,Rwy6,Rwy5,Rwy4,4,0,-
AIH321,B734,M,ARR,N,802,845,42,Rwy5,Rwy4,Rwy3,4,0,-
AIH321,B734,M,ARR,N,845,860,14,Rwy4,Rwy3,Tx8,4,0,-
AIH321,B734,M,ARR,N,860,918,58,Rwy3,Tx8,Tx3,5,0,-
AIH321,B734,M,ARR,N,918,1070,151,Tx8,Tx3,gate113,4,0,-
AIH321,B734,M,ARR,N,1070,1228,158,gate113,G644,XXXX,4,0,-
SIA603,A333,H,DEP,N,1200,1295,95,XXXX,G109,gate48,5,0,0
SIA603,A333,H,DEP,N,1295,1307,12,gate48,Tx207,Tx102,4,0,-
SIA603,A333,H,DEP,N,1307,1330,22,Tx207,Tx102,Tx92,5,0,-
SIA603,A333,H,DEP,N,1330,1341,11,Tx102,Tx92,Tx93,5,0,-
SIA603,A333,H,DEP,N,1341,1373,32,Tx92,Tx93,Tx94,5,0,-
SIA603,A333,H,DEP,N,1373,1402,28,Tx93,Tx94,Tx95,5,0,-
SIA603,A333,H,DEP,N,1402,1413,11,Tx94,Tx95,Tx77,5,0,-
SIA603,A333,H,DEP,N,1413,1428,14,Tx95,Tx77,Tx43,4,0,-
SIA603,A333,H,DEP,N,1428,1450,21,Tx43,33L,XXXX,4,0,-
QTR859,B773,H,DEP,N,1680,1716,36,XXXX,G121,gate54,5,0,0
QTR859,B773,H,DEP,N,1716,1727,11,gate54,Tx215,Tx128,5,0,-
QTR859,B773,H,DEP,N,1727,1763,36,Tx215,Tx128,Tx214,5,0,-
QTR859,B773,H,DEP,N,1763,1775,11,Tx128,Tx214,Tx125,5,0,-
QTR859,B773,H,DEP,N,1775,1799,24,Tx214,Tx125,Tx212,5,0,-
QTR859,B773,H,DEP,N,1799,1825,25,Tx125,Tx212,Tx210,4,0,-
QTR859,B773,H,DEP,N,1825,1838,13,Tx212,Tx210,Tx211,5,0,-
QTR859,B773,H,DEP,N,1838,1854,16,Tx210,Tx211,Tx107,4,0,-
QTR859,B773,H,DEP,N,1854,1882,27,Tx211,Tx107,Tx105,4,0,-
QTR859,B773,H,DEP,N,1882,1896,14,Tx107,Tx105,Tx95,4,0,-
QTR859,B773,H,DEP,N,1896,1908,11,Tx105,Tx95,Tx77,5,0,-
QTR859,B773,H,DEP,N,1908,1922,14,Tx95,Tx77,Tx43,4,0,-
QTR859,B773,H,DEP,N,1922,1944,21,Tx43,33L,XXXX,4,0,-
KAL854,B772,H,ARR,N,1740,1749,9,XXXX,33R,Rwy7,5,0,0
KAL854,B772,H,ARR,N,1749,1756,6,Rwy7,Rwy6,Rwy5,4,0,-
KAL854,B772,H,ARR,N,1756,1762,6,Rwy6,Rwy5,Rwy4,4,0,-
KAL854,B772,H,ARR,N,1762,1805,42,Rwy5,Rwy4,Tx15,4,0,-
KAL854,B772,H,ARR,N,1805,1851,45,Rwy4,Tx15,Tx23,5,0,-
KAL854,B772,H,ARR,N,1851,1953,102,Tx15,Tx23,Tx30,5,0,-
