* Link capacities in hour
** ID,State,Max Capacity,Comment
gate1,DEFAULT,2, 
gate2,DEFAULT,2, 
gate3,DEFAULT,2, 
gate4,DEFAULT,2, 
gate5,DEFAULT,2, 
gate6,DEFAULT,1, 
gate7,DEFAULT,1, 
gate8,DEFAULT,1, 
gate9,DEFAULT,2, 
gate10,DEFAULT,2, 
gate11,DEFAULT,2, 
gate12,DEFAULT,1, 
gate13,DEFAULT,1, 
gate14,DEFAULT,2, 
gate15,DEFAULT,2, 
gate16,DEFAULT,2, 
gate17,DEFAULT,1, 
gate18,DEFAULT,2, 
gate19,DEFAULT,2, 
gate20,DEFAULT,2, 
gate21,DEFAULT,3, 
gate22,DEFAULT,3, 
gate23,DEFAULT,3, 
gate24,DEFAULT,3, 
gate25,DEFAULT,3, 
gate26,DEFAULT,3, 
gate27,DEFAULT,2, 
gate28,DEFAULT,2, 
gate29,DEFAULT,2, 
gate30,DEFAULT,2, 
gate31,DEFAULT,1, 
gate32,DEFAULT,1, 
gate33,DEFAULT,2, 
gate34,DEFAULT,2, 
gate35,DEFAULT,2, 
gate36,DEFAULT,2, 
gate37,DEFAULT,2, 
gate38,DEFAULT,1, 
gate39,DEFAULT,1, 
gate40,DEFAULT,2, 
gate41,DEFAULT,1, 
gate42,DEFAULT,2, 
gate43,DEFAULT,2, 
gate44,DEFAULT,2, 
gate45,DEFAULT,1, 
gate46,DEFAULT,1, 
gate47,DEFAULT,2, 
gate48,DEFAULT,2, 
gate49,DEFAULT,1, 
gate50,DEFAULT,1, 
gate51,DEFAULT,1, 
gate52,DEFAULT,2, 
gate53,DEFAULT,1, 
gate54,DEFAULT,1, 
gate55,DEFAULT,1, 
gate56,DEFAULT,2, 
gate57,DEFAULT,2, 
gate58,DEFAULT,2, 
gate59,DEFAULT,1, 
gate60,DEFAULT,2, 
gate61,DEFAULT,1, 
gate62,DEFAULT,2, 
gate63,DEFAULT,2, 
gate64,DEFAULT,2, 
gate65,DEFAULT,2, 
gate66,DEFAULT,3, 
gate67,DEFAULT,2, 
gate68,DEFAULT,1, 
gate69,DEFAULT,2, 
gate70,DEFAULT,2, 
gate71,DEFAULT,3, 
gate72,DEFAULT,2, 
gate73,DEFAULT,2, 
gate74,DEFAULT,2, 
gate75,DEFAULT,1, 
gate76,DEFAULT,2, 
gate77,DEFAULT,2, 
gate78,DEFAULT,3, 
gate79,DEFAULT,2, 
gate80,DEFAULT,2, 
gate81,DEFAULT,1, 
gate82,DEFAULT,1, 
gate83,DEFAULT,1, 
gate84,DEFAULT,2, 
gate85,DEFAULT,3, 
gate86,DEFAULT,3, 
gate87,DEFAULT,2, 
gate88,DEFAULT,2, 
gate89,DEFAULT,1, 
gate90,DEFAULT,1, 
gate91,DEFAULT,2, 
gate92,DEFAULT,2, 
gate93,DEFAULT,3, 
gate94,DEFAULT,3, 
gate95,DEFAULT,2, 
gate96,DEFAULT,1, 
gate97,DEFAULT,1, 
gate98,DEFAULT,2, 
gate99,DEFAULT,3, 
gate100,DEFAULT,3, 
gate101,DEFAULT,2, 
gate102,DEFAULT,2, 
gate103,DEFAULT,1, 
gate104,DEFAULT,1, 
gate105,DEFAULT,1, 
gate106,DEFAULT,2, 
gate107,DEFAULT,3, 
gate108,DEFAULT,1, 
gate109,DEFAULT,1, 
gate110,DEFAULT,1, 
gate111,DEFAULT,1, 
gate112,DEFAULT,5, 
gate113,DEFAULT,3, 
Tx201,DEFAULT,1, 
Tx202,DEFAULT,4, 
Tx203,DEFAULT,1, 
Tx204,DEFAULT,1, 
Tx205,DEFAULT,2, 
Tx206,DEFAULT,1, 
Tx207,DEFAULT,1, 
Tx208,DEFAULT,1, 
Tx209,DEFAULT,2, 
Tx210,DEFAULT,1, 
Tx211,DEFAULT,1, 
Tx212,DEFAULT,2, 
Tx213,DEFAULT,1, 
Tx214,DEFAULT,1, 
Tx215,DEFAULT,1, 
Tx216,DEFAULT,1, 
Tx217,DEFAULT,1, 
Tx218,DEFAULT,1, 
Tx219,DEFAULT,1, 
Tx220,DEFAULT,1, 
Tx221,DEFAULT,1, 
Tx222,DEFAULT,1, 
Tx223,DEFAULT,1, 
Tx224,DEFAULT,1, 
