* Links in RKSI,,,,,,
* Type,ID,Node1,Node2,Ground Speed in knots,,
Gate,gate1,G1,N87,5,,
Gate,gate2,G2,N87,5,,
Gate,gate3,G3,N87,5,,
Gate,gate4,G6,N87,5,,
Gate,gate5,G7,N87,5,,
Gate,gate6,G8,N87,5,,
Gate,gate7,G9,N87,5,,
Gate,gate8,G10,N87,5,,
Gate,gate9,G11,N85,5,,
Gate,gate10,G12,N85,5,,
Gate,gate11,G14,N85,5,,
Gate,gate12,G15,N85,5,,
Gate,gate13,G16,N85,5,,
Gate,gate14,G17,N83,5,,
Gate,gate15,G18,N83,5,,
Gate,gate16,G19,N83,5,,
Gate,gate17,G20,N92,5,,
Gate,gate18,G21,N92,5,,
Gate,gate19,G22,N92,5,,
Gate,gate20,G23,N92,5,,
Gate,gate21,G24,N92,5,,
Gate,gate22,G26,N92,5,,
Gate,gate23,G27,N92,5,,
Gate,gate24,G28,N96,5,,
Gate,gate25,G30,N96,5,,
Gate,gate26,G31,N96,5,,
Gate,gate27,G32,N96,5,,
Gate,gate28,G33,N96,5,,
Gate,gate29,G34,N96,5,,
Gate,gate30,G35,N109,5,,
Gate,gate31,G36,N109,5,,
Gate,gate32,G37,N109,5,,
Gate,gate33,G38,N109,5,,
Gate,gate34,G39,N109,5,,
Gate,gate35,G40,N110,5,,
Gate,gate36,G41,N110,5,,
Gate,gate37,G42,N110,5,,
Gate,gate38,G43,N110,5,,
Gate,gate39,G45,N110,5,,
Gate,gate40,G46,N112,5,,
Gate,gate41,G47,N112,5,,
Gate,gate42,G48,N113,5,,
Gate,gate43,G49,N113,5,,
Gate,gate44,G50,N113,5,,
Gate,gate45,G103,N79,5,,
Gate,gate46,G105,N79,5,,
Gate,gate47,G107,N80,5,,
Gate,gate48,G109,N80,5,,
Gate,gate49,G111,N90,5,,
Gate,gate50,G113,N90,5,,
Gate,gate51,G115,N90,5,,
Gate,gate52,G117,N90,5,,
Gate,gate53,G119,N94,5,,
Gate,gate54,G121,N94,5,,
Gate,gate55,G123,N94,5,,
Gate,gate56,G125,N94,5,,
Gate,gate57,G127,N104,5,,
Gate,gate58,G129,N104,5,,
Gate,gate59,G131,N104,5,,
Gate,gate60,G132,N103,5,,
Gate,gate61,G101,N79,5,,
Gate,gate62,G102,N79,5,,
Gate,gate63,G104,N78,5,,
Gate,gate64,G106,N78,5,,
Gate,gate65,G108,N78,5,,
Gate,gate66,G110,N78,5,,
Gate,gate67,G112,N163,5,,
Gate,gate68,G114,N163,5,,
Gate,gate69,G118,N163,5,,
Gate,gate70,G122,N163,5,,
Gate,gate71,G124,N163,5,,
Gate,gate72,G126,N103,5,,
Gate,gate73,G128,N103,5,,
Gate,gate74,G130,N103,5,,
Gate,gate75,G201,N76,5,,
Gate,gate76,G202,N76,5,,
Gate,gate77,G203,N76,5,,
Gate,gate78,G204,N76,5,,
Gate,gate79,G205,N161,5,,
Gate,gate80,G206,N161,5,,
Gate,gate81,G207,N161,5,,
Gate,gate82,G208,N161,5,,
Gate,gate83,G209,N161,5,,
Gate,gate84,G210,N161,5,,
Gate,gate85,G211,N101,5,,
Gate,gate86,G212,N101,5,,
Gate,gate87,G213,N101,5,,
Gate,gate88,G214,N101,5,,
Gate,gate89,G215,N101,5,,
Gate,gate90,G221,N75,5,,
Gate,gate91,G222,N75,5,,
Gate,gate92,G223,N75,5,,
Gate,gate93,G224,N75,5,,
