* Node rates in hour
** ID,State,Rate,Departure,Arrival,Standard,Comment
G1,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G2,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G3,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G6,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G7,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G8,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G9,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G10,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G11,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G12,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G14,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G15,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G16,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G17,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G18,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G19,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G20,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G21,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G22,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G23,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G24,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G26,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G27,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G28,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G30,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G31,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G32,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G33,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G34,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G35,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G36,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G37,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G38,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G39,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G40,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G41,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G42,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G43,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G45,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G46,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G47,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G48,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G49,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G50,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G103,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G105,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G107,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G109,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G111,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G113,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G115,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G117,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G119,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G121,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G123,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G125,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G127,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G129,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G131,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G132,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G101,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G102,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G104,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G106,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G108,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G110,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G112,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
G114,VMC_NDR_3600_NAR_3600_STD_89,DEFAULT,3600,3600,89, 
