* Nodes in RKSI,,,,,
* Type,ID,Latitude,Longitude,Comment,
Gate,G1,37.449897,126.456061,-,
Gate,G2,37.450042,126.456415,-,
Gate,G3,37.450297,126.456586,-,
Gate,G6,37.450706,126.456533,-,
Gate,G7,37.450911,126.456114,-,
Gate,G8,37.451158,126.455352,-,
Gate,G9,37.451234,126.454655,-,
Gate,G10,37.451226,126.453915,-,
Gate,G11,37.451515,126.452724,-,
Gate,G12,37.452188,126.452305,-,
Gate,G14,37.452776,126.452102,-,
Gate,G15,37.453185,126.452037,-,
Gate,G16,37.453611,126.451855,-,
Gate,G17,37.454045,126.451469,-,
Gate,G18,37.454266,126.451104,-,
Gate,G19,37.454139,126.450449,-,
Gate,G20,37.45356,126.450106,-,
Gate,G21,37.453159,126.450299,-,
Gate,G22,37.452861,126.45046,-,
Gate,G23,37.452239,126.450685,-,
Gate,G24,37.451745,126.450932,-,
Gate,G26,37.4512,126.45105,-,
Gate,G27,37.450519,126.449967,-,
Gate,G28,37.449906,126.448797,-,
Gate,G30,37.449923,126.448164,-,
Gate,G31,37.450221,126.447671,-,
Gate,G32,37.450689,126.446962,-,
Gate,G33,37.451038,126.446448,-,
Gate,G34,37.451192,126.445611,-,
Gate,G35,37.450945,126.44516,-,
Gate,G36,37.450468,126.444849,-,
Gate,G37,37.450025,126.444903,-,
Gate,G38,37.449761,126.445117,-,
Gate,G39,37.449437,126.445782,-,
Gate,G40,37.449309,126.446415,-,
Gate,G41,37.448867,126.44722,-,
Gate,G42,37.448355,126.447617,-,
Gate,G43,37.447836,126.44722,-,
Gate,G45,37.447095,126.447166,-,
Gate,G46,37.446618,126.447091,-,
Gate,G47,37.446081,126.447005,-,
Gate,G48,37.445511,126.447209,-,
Gate,G49,37.44517,126.447982,-,
Gate,G50,37.445459,126.448389,-,
Gate,G103,37.458225,126.4500056,-,
Gate,G105,37.45790833,126.4496111,-,
Gate,G107,37.45760278,126.4488778,-,
Gate,G109,37.457225,126.4482111,-,
Gate,G111,37.45676944,126.4474028,-,
Gate,G113,37.45639167,126.4467361,-,
Gate,G115,37.45593056,126.4461389,-,
Gate,G117,37.45558056,126.4454861,-,
Gate,G119,37.45518889,126.4447889,-,
Gate,G121,37.45488056,126.4440611,-,
Gate,G123,37.45450278,126.4433917,-,
Gate,G125,37.45401111,126.4426306,-,
Gate,G127,37.45359167,126.442,-,
Gate,G129,37.45331944,126.4413278,-,
Gate,G131,37.45304444,126.4409806,-,
Gate,G132,37.45328611,126.4405556,-,
Gate,G101,37.45865833,126.4494417,-,
Gate,G102,37.459,126.4491111,-,
Gate,G104,37.45880278,126.4487361,-,
Gate,G106,37.45841111,126.4483944,-,
Gate,G108,37.45808889,126.447675,-,
Gate,G110,37.45761111,126.4469917,-,
Gate,G112,37.45715556,126.4461861,-,
Gate,G114,37.45688611,126.4454056,-,
Gate,G118,37.45578056,126.4436056,-,
Gate,G122,37.45528333,126.442875,-,
Gate,G124,37.45486667,126.4421361,-,
Gate,G126,37.45445,126.4414,-,
Gate,G128,37.45417778,126.440625,-,
Gate,G130,37.45382778,126.4402389,-,
Gate,G201,37.4621,126.4466667,-,
Gate,G202,37.461925,126.4460139,-,
Gate,G203,37.46154722,126.4452917,-,
Gate,G204,37.46115278,126.4445889,-,
Gate,G205,37.46063611,126.4437333,-,
Gate,G206,37.46024167,126.442975,-,
Gate,G207,37.45983056,126.4423222,-,
Gate,G208,37.45951944,126.441775,-,
Gate,G209,37.45921111,126.441225,-,
Gate,G210,37.45885556,126.4405222,-,
Gate,G211,37.45834,126.4397,-,
Gate,G212,37.45793,126.4389,-,
Gate,G213,37.45751,126.4382,-,
Gate,G214,37.45713,126.4375,-,
Gate,G215,37.45669,126.4371,-,
Gate,G221,37.46431,126.4447,-,
Gate,G222,37.46383,126.4443,-,
Gate,G223,37.46345,126.4436,-,
Gate,G224,37.46308,126.4429,-,
Gate,G225,37.4627,126.4423,-,
Gate,G226,37.46232,126.4416,-,
Gate,G227,37.46194,126.4409,-,
Gate,G228,37.46096,126.4392,-,
Gate,G229,37.46058,126.4385,-,
Gate,G230,37.46021,126.4379,-,
Gate,G231,37.45983,126.4372,-,
Gate,G232,37.45945,126.4365,-,
Gate,G233,37.45907,126.4358,-,
Gate,G234,37.4589,126.4351,-,
Gate,G300,37.4666,126.4436,-,
Gate,G301,37.46652,126.4429,-,
Gate,G305,37.46501,126.4402,-,
Gate,G311,37.46214,126.4351,-,
Gate,G314,37.461,126.4331,-,
Gate,G315,37.46049,126.4328,-,
Gate,G328,37.46179,126.4402,-,
Gate,G329,37.46141,126.4396,-,
Gate,G615,37.4672875,126.4677972,-,
Gate,G644,37.47188889,126.45945,-,
Taxi,N1,37.491224,126.436894,-,
Taxi,N2,37.485018,126.44224,-,
Taxi,N3,37.480159,126.446502,-,
Taxi,N4,37.462442,126.46227,-,
Taxi,N5,37.457538,126.466587,-,
RWY15L/33R,N6,37.479088,126.44448,-,
RWY15L/33R,N7,37.475868,126.447325,-,
RWY15L/33R,N8,37.473833,126.449047,-,
RWY15L/33R,N9,37.466308,126.455718,-,
RWY15L/33R,N10,37.464069,126.457853,-,
RWY15L/33R,N11,37.461301,126.4603,-,
Taxi,N12,37.482796,126.438526,-,
Taxi,N13,37.47804,126.442684,-,
Taxi,N14,37.477323,126.44348,-,
Taxi,N15,37.4753,126.445271,-,
Taxi,N16,37.469153,126.450611,-,
Taxi,N17,37.46321,126.456028,-,
Taxi,N18,37.46109,126.457925,-,
Taxi,N19,37.460301,126.458539,-,
Taxi,N20,37.455483,126.462757,-,
RWY15R/33L,N21,37.480854,126.437108,-,
RWY15R/33L,N22,37.476878,126.440638,-,
