* Scheduled routes in the airport surface,,,,,,,,,,,,,,
* Index,Flight ID,Address,Aircraft Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%)
0,AJX8480,JA602F,B763,H,DEP,N,660,943,283,XXXX,G615,gate112,5,10
0,AJX8480,JA602F,B763,H,DEP,N,943,971,28,gate112,Tx10,Tx18,5,10
0,AJX8480,JA602F,B763,H,DEP,N,971,995,24,Tx10,Tx18,Tx27,5,10
0,AJX8480,JA602F,B763,H,DEP,N,995,1079,84,Tx18,Tx27,Tx32,5,10
0,AJX8480,JA602F,B763,H,DEP,N,1079,1108,29,Tx32,33L,XXXX,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1200,1300,100,XXXX,G109,gate48,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1300,1313,13,gate48,Tx207,Tx102,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1313,1337,24,Tx207,Tx102,Tx92,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1337,1349,12,Tx102,Tx92,Tx93,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1349,1383,34,Tx92,Tx93,Tx94,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1383,1413,30,Tx93,Tx94,Tx95,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1413,1425,12,Tx94,Tx95,Tx77,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1425,1440,15,Tx95,Tx77,Tx43,5,10
1,SIA603,9VSTV,A333,H,DEP,N,1440,1463,23,Tx43,33L,XXXX,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1680,1718,38,XXXX,G121,gate54,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1718,1730,12,gate54,Tx215,Tx128,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1730,1768,38,Tx215,Tx128,Tx214,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1768,1780,12,Tx128,Tx214,Tx125,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1780,1806,26,Tx214,Tx125,Tx212,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1806,1833,27,Tx125,Tx212,Tx210,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1833,1847,14,Tx212,Tx210,Tx211,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1847,1864,17,Tx210,Tx211,Tx107,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1864,1893,29,Tx211,Tx107,Tx105,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1893,1908,15,Tx107,Tx105,Tx95,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1908,1920,12,Tx105,Tx95,Tx77,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1920,1935,15,Tx95,Tx77,Tx43,5,10
2,QTR859,A7BAP,B773,H,DEP,N,1935,1958,23,Tx43,33L,XXXX,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3060,3141,81,XXXX,G112,gate67,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3141,3218,77,gate67,Tx114,Tx205,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3218,3250,32,Tx114,Tx205,Tx206,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3250,3261,11,Tx205,Tx206,Tx207,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3261,3274,13,Tx206,Tx207,Tx102,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3274,3298,24,Tx207,Tx102,Tx92,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3298,3310,12,Tx102,Tx92,Tx93,5,10
3,ETD873,A6EHC,A345,H,DEP,N,3310,3344,34,Tx92,Tx93,Tx94,5,10
